	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-01	2.0	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0
2018-07-02	2.0	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0
2018-07-03	2.0	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0
2018-07-04	0.0	2.0	2.0	0.0	0.5	0.5
2018-07-05	4.0	0.0	1.0	0.8	0.2	0.0
2018-07-06	0.0	1.0	2.0	0.0	0.6666666666666666	0.3333333333333333
2018-07-07	0.0	1.0	2.0	0.0	0.6666666666666666	0.3333333333333333
2018-07-08	157.0	64.0	104.0	0.48307692307692307	0.32	0.19692307692307692
2018-07-09	94.0	28.0	42.0	0.573170731707317	0.25609756097560976	0.17073170731707318
2018-07-10	164.0	132.0	100.0	0.41414141414141414	0.25252525252525254	0.3333333333333333
2018-07-11	60.0	35.0	148.0	0.24691358024691357	0.6090534979423868	0.1440329218106996
2018-07-12	31.0	22.0	54.0	0.2897196261682243	0.5046728971962616	0.205607476635514
2018-07-13	989.0	275.0	210.0	0.6709633649932157	0.14246947082767977	0.1865671641791045
2018-07-14	507.0	225.0	101.0	0.6086434573829532	0.1212484993997599	0.27010804321728693
2018-07-15	31.0	7.0	5.0	0.7209302325581395	0.11627906976744186	0.16279069767441862
2018-07-16	264.0	217.0	287.0	0.34375	0.3736979166666667	0.2825520833333333
2018-07-17	320.0	163.0	144.0	0.5103668261562998	0.22966507177033493	0.25996810207336524
2018-07-18	678.0	290.0	303.0	0.5334382376081825	0.23839496459480725	0.22816679779701024
2018-07-19	464.0	90.0	142.0	0.6666666666666666	0.20402298850574713	0.12931034482758622
2018-07-20	1972.0	343.0	359.0	0.737471952131638	0.1342557965594615	0.12827225130890052
2018-07-21	1623.0	165.0	510.0	0.706266318537859	0.22193211488250653	0.07180156657963446
2018-07-22	924.0	156.0	315.0	0.6623655913978495	0.22580645161290322	0.11182795698924732
2018-07-23	551.0	177.0	106.0	0.6606714628297362	0.12709832134292565	0.21223021582733814
