	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	56	18	22	0.5833333333333334	0.22916666666666666	0.1875
2018-07-07	94	38	39	0.5497076023391813	0.22807017543859648	0.2222222222222222
2018-07-08	8883	3253	8126	0.4384068700029612	0.4010462935544369	0.16054683644260193
2018-07-09	8216	10355	6340	0.3298141383324636	0.2545060415077677	0.4156798201597688
2018-07-10	9971	5000	9455	0.4082125603864734	0.38708752968148696	0.20469990993203963
2018-07-11	9832	3393	8701	0.44841740399525676	0.39683480799051357	0.15474778801422967
2018-07-12	9464	2250	6167	0.5292768860801969	0.3448912253229685	0.12583188859683464
2018-07-13	4706	2228	3410	0.45494972931167826	0.3296597061098221	0.21539056457849962
2018-07-14	1105	392	1178	0.4130841121495327	0.44037383177570094	0.14654205607476636
2018-07-15	1069	300	543	0.5591004184100419	0.2839958158995816	0.15690376569037656
2018-07-16	8365	2039	5515	0.525472705571958	0.3464413593818707	0.12808593504617125
2018-07-17	8621	2593	6415	0.48902376765556754	0.36388904645754155	0.14708718588689093
2018-07-18	8549	2338	8006	0.45249563330333986	0.4237548298311544	0.12374953686550574
2018-07-19	6864	1333	3026	0.611601176156108	0.26962487748373876	0.11877394636015326
2018-07-20	9092	2744	6133	0.5059825254605154	0.34131003394735376	0.1527074405921309
2018-07-21	8261	2789	8253	0.4279645650935088	0.42755012174273427	0.14448531316375693
2018-07-22	9119	2945	6636	0.48764705882352943	0.3548663101604278	0.1574866310160428
2018-07-23	9122	3246	6025	0.4959495460229435	0.3275702712988637	0.1764801826781928
2018-07-24	9851	3161	7139	0.4888591136916282	0.3542752220733462	0.15686566423502557
2018-07-25	590	144	637	0.43034281546316555	0.4646243617797228	0.1050328227571116
