	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	49	15	21	0.5764705882352941	0.24705882352941178	0.17647058823529413
2018-07-07	84	33	34	0.5562913907284768	0.2251655629139073	0.2185430463576159
2018-07-08	2061	619	1067	0.5500400320256205	0.28476114224713106	0.16519882572724848
2018-07-09	2078	643	1138	0.5384814718839077	0.2948950505312257	0.16662347758486654
2018-07-10	3386	981	1903	0.5400318979266348	0.30350877192982456	0.15645933014354066
2018-07-11	3124	993	1662	0.5405779546634366	0.2875930091711369	0.17182903616542655
2018-07-12	2447	728	1423	0.5321879077859939	0.3094823836450631	0.15832970856894302
2018-07-13	1198	426	520	0.558768656716418	0.24253731343283583	0.19869402985074627
2018-07-14	371	96	140	0.6112026359143328	0.23064250411861614	0.15815485996705106
2018-07-15	303	87	143	0.5684803001876173	0.2682926829268293	0.16322701688555347
2018-07-16	1904	661	1249	0.4992134242265338	0.3274777136864185	0.1733088620870477
2018-07-17	2415	771	1404	0.5261437908496732	0.3058823529411765	0.16797385620915034
2018-07-18	2730	826	1372	0.5539772727272727	0.2784090909090909	0.16761363636363635
2018-07-19	1797	535	778	0.5778135048231511	0.25016077170418005	0.1720257234726688
2018-07-20	2628	808	1174	0.5700650759219089	0.2546637744034707	0.1752711496746204
2018-07-21	2660	837	1156	0.5716741886954653	0.24844186546314206	0.17988394584139264
2018-07-22	2888	932	1505	0.5423474178403755	0.28262910798122065	0.17502347417840375
2018-07-23	2825	969	1408	0.5430603613994618	0.2706651287966167	0.18627450980392157
2018-07-24	4530	1397	2374	0.5457173834477774	0.2859896398024334	0.16829297674978919
2018-07-25	2481	691	1089	0.5822576859892045	0.2555738089650317	0.1621685050457639
2018-07-26	3185	1470	1411	0.5250576986482031	0.2326079788987801	0.2423343224530168
2018-07-27	2287	994	1066	0.5261099608925696	0.24522659305268002	0.2286634460547504
2018-07-28	2669	1994	1445	0.43696791093647674	0.2365749836280288	0.32645710543549444
2018-07-29	2430	1159	1392	0.48785384460951614	0.2794619554306364	0.23268419995984743
2018-07-30	358	170	208	0.48641304347826086	0.2826086956521739	0.23097826086956522
