	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
2018-07-06	21	49	15	0.5764705882352941	0.24539455595270826	0.17478063398877114
2018-07-07	34	84	33	0.5562913907284768	0.22433908673803798	0.21741904679266177
2018-07-08	1067	2061	619	0.5500400320256205	0.2847193469338922	0.165162030810177
2018-07-09	1138	2078	643	0.5384814718839077	0.2948539068759354	0.16658750368994968
2018-07-10	1903	3386	981	0.5400318979266348	0.3034826331256213	0.1564382842159571
2018-07-11	1662	3124	993	0.5405779546634366	0.28756610972496527	0.17180441619527465
2018-07-12	1423	2447	728	0.5321879077859939	0.30944656726376607	0.1583007326328818
2018-07-13	520	1198	426	0.558768656716418	0.24247411989819775	0.19861980285339134
2018-07-14	140	371	96	0.6112026359143328	0.2304104983460767	0.15793587988322785
2018-07-15	143	303	87	0.5684803001876173	0.26800683563532024	0.1629712507415492
2018-07-16	1249	1904	661	0.4992134242265338	0.3274348558270612	0.17327130717670156
2018-07-17	1404	2415	771	0.5261437908496732	0.3058472941928567	0.16794341450464936
2018-07-18	1372	2731	826	0.5540677622235748	0.2783213209836688	0.1675513353819337
2018-07-19	778	1797	535	0.5778135048231511	0.25011430243675326	0.17197993987957647
2018-07-20	1175	2628	808	0.5699414443721535	0.2547939237438916	0.17520180110129563
2018-07-21	1158	2662	837	0.5716126261541765	0.2486274170988143	0.17969778928012636
2018-07-22	1507	2888	932	0.542143795757462	0.282869653458301	0.1749306701416281
2018-07-23	1409	2827	970	0.5430272762197464	0.27062102293565643	0.18629435687925144
2018-07-24	2374	4532	1397	0.5458268095868963	0.2859019567682865	0.1682355863691789
2018-07-25	1091	2483	692	0.5820440693858415	0.25570819656837646	0.16218099683600698
2018-07-26	1412	3189	1472	0.5251111477029474	0.2324844261215505	0.24235409083047732
2018-07-27	1071	2297	998	0.5261108566193312	0.24527507057318218	0.22854413748708202
2018-07-28	1452	2680	2000	0.4370515329419439	0.2367737308672479	0.32612202393039647
2018-07-29	1420	2483	1175	0.48897203623473806	0.279610728273502	0.23135529427104087
2018-07-30	2909	6145	2920	0.5131952563888424	0.2429326313784829	0.24384630207204563
2018-07-31	2119	5218	1718	0.5762562120375483	0.23399946508609945	0.18971245548381258
2018-08-01	1921	3847	1199	0.5521745371034879	0.27570658272503334	0.17207658117515148
2018-08-02	1849	3864	1760	0.5170614211160177	0.24740694171218044	0.23549042887961633
2018-08-03	276	544	294	0.4883303411131059	0.24764727676917375	0.26373958130270336
