	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-01	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-02	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-03	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-04	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-05	1.0	1.0	0.0	0.5	0.0	0.5
2018-07-06	1.0	0.0	0.0	1.0	0.0	0.0
2018-07-07	1.0	0.0	0.0	1.0	0.0	0.0
2018-07-08	57.0	5.0	2.0	0.890625	0.03125	0.078125
2018-07-09	53.0	0.0	5.0	0.9137931034482759	0.08620689655172414	0.0
2018-07-10	83.0	15.0	2.0	0.83	0.02	0.15
2018-07-11	99.0	11.0	148.0	0.38372093023255816	0.5736434108527132	0.04263565891472868
2018-07-12	103.0	6.0	30.0	0.7410071942446043	0.2158273381294964	0.04316546762589928
2018-07-13	46.0	4.0	18.0	0.6764705882352942	0.2647058823529412	0.058823529411764705
2018-07-14	22.0	2.0	2.0	0.8461538461538461	0.07692307692307693	0.07692307692307693
2018-07-15	11.0	0.0	3.0	0.7857142857142857	0.21428571428571427	0.0
2018-07-16	47.0	4.0	5.0	0.8392857142857143	0.08928571428571429	0.07142857142857142
2018-07-17	75.0	8.0	39.0	0.6147540983606558	0.319672131147541	0.06557377049180328
2018-07-18	790.0	8.0	11.0	0.9765142150803461	0.013597033374536464	0.009888751545117428
2018-07-19	422.0	46.0	26.0	0.854251012145749	0.05263157894736842	0.0931174089068826
