	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-01	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-02	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-03	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-04	2.0	0.0	0.0	1.0	0.0	0.0
2018-07-05	1.0	0.0	0.0	1.0	0.0	0.0
2018-07-06	1.0	0.0	0.0	1.0	0.0	0.0
2018-07-07	1.0	0.0	0.0	1.0	0.0	0.0
2018-07-08	17.0	5.0	2.0	0.7083333333333334	0.08333333333333333	0.20833333333333334
2018-07-09	15.0	0.0	4.0	0.7894736842105263	0.21052631578947367	0.0
2018-07-10	38.0	11.0	2.0	0.7450980392156863	0.0392156862745098	0.21568627450980393
2018-07-11	32.0	4.0	12.0	0.6666666666666666	0.25	0.08333333333333333
2018-07-12	38.0	4.0	3.0	0.8444444444444444	0.06666666666666667	0.08888888888888889
2018-07-13	23.0	4.0	2.0	0.7931034482758621	0.06896551724137931	0.13793103448275862
2018-07-14	13.0	2.0	0.0	0.8666666666666667	0.0	0.13333333333333333
2018-07-15	4.0	0.0	1.0	0.8	0.2	0.0
2018-07-16	33.0	2.0	2.0	0.8918918918918919	0.05405405405405406	0.05405405405405406
2018-07-17	48.0	6.0	3.0	0.8421052631578947	0.05263157894736842	0.10526315789473684
2018-07-18	143.0	7.0	5.0	0.9225806451612903	0.03225806451612903	0.04516129032258064
2018-07-19	78.0	7.0	8.0	0.8387096774193549	0.08602150537634409	0.07526881720430108
