	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	27	18	15	0.45	0.25	0.3
2018-07-07	36	11	5	0.6923076923076923	0.09615384615384616	0.21153846153846154
2018-07-08	19060	4982	6003	0.6343817606922949	0.199800299550674	0.16581793975703113
2018-07-09	20655	5356	6111	0.643017246746778	0.19024344685885064	0.16673930639437146
2018-07-10	21918	6866	6409	0.6227943056857898	0.18211007870883414	0.19509561560537608
2018-07-11	21252	5706	5306	0.6586908008926358	0.16445574014381353	0.1768534589635507
2018-07-12	22009	6354	5984	0.6407837656855039	0.17422191166622994	0.18499432264826624
2018-07-13	9311	3706	2735	0.5910995429151854	0.17362874555611985	0.23527171152869478
2018-07-14	975	384	278	0.5956017104459377	0.16982284667073916	0.23457544288332316
2018-07-15	334	124	95	0.6039783001808319	0.1717902350813743	0.22423146473779385
2018-07-16	11040	3573	5044	0.5616319886045683	0.25660070203998575	0.1817673093554459
2018-07-17	15751	4522	5729	0.6057610953003615	0.22032920544573495	0.17390969925390354
2018-07-18	8153	1788	2668	0.646601633753668	0.2115948925370767	0.1418034737092553
2018-07-19	8636	2459	2742	0.6241237262412372	0.19816434198164343	0.17771193177711933
2018-07-20	10157	2916	3442	0.6150166515289132	0.20841659097789889	0.176566757493188
2018-07-21	8532	2792	3303	0.5833048472003829	0.22581527312504274	0.19087987967457443
2018-07-22	9371	3071	3875	0.5743090028804314	0.2374823803395232	0.18820861678004536
2018-07-23	8747	2331	3406	0.6039077602872135	0.2351560342446838	0.16093620546810272
2018-07-24	14519	5981	4930	0.5709398348407393	0.19386551317341721	0.2351946519858435
2018-07-25	11762	3013	3362	0.6485085736340078	0.1853669294811711	0.1661244968848211
2018-07-26	7285	2327	3824	0.5422000595415302	0.28460851443882107	0.1731914260196487
2018-07-27	2888	773	1307	0.5813204508856683	0.26308373590982287	0.15559581320450885
