	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	22	6	14	0.5238095238095238	0.3333333333333333	0.14285714285714285
2018-07-07	29	9	5	0.6744186046511628	0.11627906976744186	0.20930232558139536
2018-07-08	5160	1996	1251	0.6137742357559177	0.14880456762221958	0.23742119662186273
2018-07-09	5039	1654	1111	0.6456945156330087	0.14236289082521783	0.21194259354177344
2018-07-10	5772	1838	1321	0.6462882096069869	0.14791176799910424	0.20580002239390885
2018-07-11	5710	1657	1179	0.6681488415633045	0.137959279194945	0.19389187924175053
2018-07-12	5802	1829	1134	0.6619509412435824	0.1293782087849401	0.20867084997147747
2018-07-13	2563	878	623	0.6306594488188977	0.1532972440944882	0.21604330708661418
2018-07-14	401	103	92	0.6728187919463087	0.15436241610738255	0.17281879194630873
2018-07-15	239	93	58	0.6128205128205129	0.14871794871794872	0.23846153846153847
2018-07-16	3465	1070	981	0.6281725888324873	0.17784626540971718	0.19398114575779551
2018-07-17	4384	1601	1126	0.6165096329630151	0.1583462241597525	0.22514414287723244
2018-07-18	2416	726	610	0.6439232409381663	0.16257995735607675	0.19349680170575692
2018-07-19	3203	958	599	0.6728991596638656	0.12584033613445378	0.20126050420168068
2018-07-20	3440	1053	796	0.6504065040650406	0.15050103989411986	0.19909245604083947
2018-07-21	3113	1055	783	0.6287618662896385	0.15814986871339123	0.2130882649969703
2018-07-22	2916	964	877	0.6129913811225562	0.18435989068740802	0.20264872819003574
2018-07-23	3080	1013	767	0.6337448559670782	0.15781893004115227	0.20843621399176954
2018-07-24	5051	1825	1239	0.6224276032039433	0.15268022181146026	0.22489217498459643
2018-07-25	3588	1116	836	0.6476534296028881	0.15090252707581228	0.20144404332129964
2018-07-26	2647	1013	841	0.5880915352143968	0.18684736725172185	0.22506109753388137
2018-07-27	3706	1294	1097	0.6078399212727571	0.17992455305888141	0.21223552566836149
2018-07-28	3960	2068	1420	0.5316863587540279	0.19065520945220193	0.27765843179377014
2018-07-29	3406	1371	887	0.6013418079096046	0.15660310734463276	0.2420550847457627
2018-07-30	597	193	228	0.5864440078585462	0.22396856581532418	0.18958742632612965
