	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
2018-07-06	16	29	18	0.4603174603174603	0.25212606303151575	0.2825193793329157
2018-07-07	6	36	11	0.6792452830188679	0.11177504393673111	0.20449509849672273
2018-07-08	6006	19070	4986	0.6343556649590846	0.1997828909118285	0.16585262643635476
2018-07-09	6111	20656	5358	0.642988326848249	0.1902218736048486	0.16678166648448986
2018-07-10	6409	21923	6867	0.6228301940396034	0.18207581458805847	0.19508630852745998
2018-07-11	5306	21252	5707	0.6586703858670386	0.16444728602022818	0.17687445874809543
2018-07-12	5984	22012	6354	0.6408151382823872	0.17420344593288806	0.18497377708687282
2018-07-13	2735	9313	3708	0.591076415333841	0.17357815448379457	0.23532749782643966
2018-07-14	278	980	387	0.5957446808510638	0.16893577957927672	0.2351490493110657
2018-07-15	95	336	124	0.6054054054054054	0.17098465759288628	0.2231113127816466
2018-07-16	5044	11041	3573	0.5616542883304507	0.2565803179654143	0.18175049778476965
2018-07-17	5729	15752	4523	0.6057529610829103	0.22030712768439692	0.17392925411417115
2018-07-18	2669	8155	1789	0.6465551415206533	0.2115962254318973	0.14182813684218637
2018-07-19	2742	8649	2462	0.6243412979138093	0.1979265448844348	0.177712688411973
2018-07-20	3445	10159	2918	0.6148771335189445	0.20850210609022363	0.17660419971966612
2018-07-21	3304	8535	2792	0.5833504203403732	0.22581288168686692	0.19081714153316068
2018-07-22	3875	9373	3071	0.5743611740915497	0.23744491824609193	0.18817618955958593
2018-07-23	3406	8754	2334	0.6039740582309922	0.23498399860361144	0.16102283072987614
2018-07-24	4931	14524	5986	0.5708895090601784	0.1938166484064598	0.2352824212131502
2018-07-25	3365	11779	3016	0.6486233480176211	0.18529073877206284	0.16607166908016174
2018-07-26	3846	7330	2341	0.5422800917363321	0.2845191766601154	0.17317872426999123
2018-07-27	4283	10597	3943	0.5629814588535302	0.22753396921819427	0.2094689694282508
2018-07-28	5854	13237	4932	0.5510136119552096	0.2436775477814696	0.2052964597559966
2018-07-29	4940	11972	4137	0.5687681124994062	0.2346841426739103	0.19653390158171677
2018-07-30	6162	16489	5794	0.5796800843733521	0.2166241668934666	0.20368563207119914
2018-07-31	5204	13368	4051	0.5909030632542103	0.23002537582552263	0.1790590551796547
2018-08-01	3992	13325	3090	0.6529622188464742	0.195612891271254	0.15141233475088772
2018-08-02	2918	12969	3961	0.653415961305925	0.14701249192317944	0.1995586591883866
2018-08-03	594	2223	747	0.6237373737373737	0.1666375033561421	0.20954948859391348
