	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
2018-07-06	14	23	6	0.5348837209302325	0.3215811965811966	0.1368099323847751
2018-07-07	6	29	9	0.6590909090909091	0.13435114503816795	0.20092226869112367
2018-07-08	1252	5163	1998	0.6136930940211577	0.14880645174232973	0.23746807686904245
2018-07-09	1111	5040	1655	0.6456571867794004	0.14231464431554108	0.21199499793918664
2018-07-10	1321	5773	1839	0.6462554572931826	0.14786795472151598	0.2058475911349572
2018-07-11	1179	5710	1658	0.6680706680706681	0.1379323565506506	0.19396790233813455
2018-07-12	1134	5803	1829	0.6619895049053159	0.12935368117963017	0.2086282116685228
2018-07-13	623	2565	879	0.6306860093434964	0.1531604140323788	0.21608817803159974
2018-07-14	92	402	104	0.6722408026755853	0.15367340212175215	0.17367317868683987
2018-07-15	58	239	93	0.6128205128205129	0.1484846296746073	0.23799695306598126
2018-07-16	981	3466	1070	0.6282399854993655	0.17779378336706828	0.19391765376521408
2018-07-17	1126	4385	1602	0.6164768733305216	0.15828798244334283	0.22519689657794206
2018-07-18	610	2417	726	0.6440181188382628	0.16250875071145005	0.19340368098444344
2018-07-19	599	3204	958	0.6729678638941399	0.12579612334626875	0.20118447827850441
2018-07-20	799	3441	1054	0.6499811106913487	0.15090704821858475	0.19906319845891188
2018-07-21	784	3114	1055	0.628709872804361	0.15826781656797426	0.212968382522595
2018-07-22	877	2917	964	0.6130727196300967	0.1842973964468137	0.20257218894287277
2018-07-23	767	3080	1016	0.6333538967715402	0.15770103216877462	0.20889055235429796
2018-07-24	1239	5053	1827	0.6223672866116516	0.15259330347576802	0.22500623587075702
2018-07-25	836	3593	1117	0.6478543094121889	0.1507216650414319	0.20137742243574566
2018-07-26	843	2651	1013	0.5881961393388063	0.18701797132267162	0.22472282930812795
2018-07-27	1098	3713	1296	0.6079908301948583	0.17977578155777335	0.21218811941773574
2018-07-28	1424	3977	2076	0.5318978199812759	0.19043716823396722	0.2776246438419369
2018-07-29	909	3469	1404	0.5999654098927707	0.15719572604666016	0.24279075895419489
2018-07-30	1407	5409	1828	0.6257519666820917	0.16276008243386392	0.21145687918821052
2018-07-31	1333	5161	1801	0.6221820373719108	0.16068716375323405	0.21709825683678172
2018-08-01	969	4195	1354	0.6436023320036821	0.14865055663625273	0.20770718677221361
2018-08-02	952	4422	1242	0.6683796856106409	0.1438790559494889	0.1877036783625192
2018-08-03	160	752	232	0.6573426573426573	0.13977982234277825	0.20265599506179477
