	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-01	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-02	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-03	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-04	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-05	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-06	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-07	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-08	76.0	2.0	2.0	0.95	0.025	0.025
2018-07-09	42.0	2.0	5.0	0.8571428571428571	0.10204081632653061	0.04081632653061224
2018-07-10	14.0	26.0	2.0	0.3333333333333333	0.047619047619047616	0.6190476190476191
2018-07-11	7.0	7.0	3.0	0.4117647058823529	0.17647058823529413	0.4117647058823529
2018-07-12	37.0	8.0	6.0	0.7254901960784313	0.11764705882352941	0.1568627450980392
2018-07-13	27.0	13.0	5.0	0.6	0.1111111111111111	0.28888888888888886
2018-07-14	4.0	4.0	1.0	0.4444444444444444	0.1111111111111111	0.4444444444444444
2018-07-15	0.0	0.0	1.0	0.0	1.0	0.0
2018-07-16	19.0	107.0	56.0	0.1043956043956044	0.3076923076923077	0.5879120879120879
2018-07-17	35.0	33.0	40.0	0.32407407407407407	0.37037037037037035	0.3055555555555556
2018-07-18	12.0	18.0	7.0	0.32432432432432434	0.1891891891891892	0.4864864864864865
2018-07-19	4.0	5.0	2.0	0.36363636363636365	0.18181818181818182	0.45454545454545453
2018-07-20	36.0	16.0	0.0	0.6923076923076923	0.0	0.3076923076923077
2018-07-21	153.0	5.0	2.0	0.95625	0.0125	0.03125
2018-07-22	26.0	0.0	1.0	0.9629629629629629	0.037037037037037035	0.0
