	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-01	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-02	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-03	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-04	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-05	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-06	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-07	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-08	6.0	0.0	1.0	0.8571428571428571	0.14285714285714285	0.0
2018-07-09	6.0	1.0	3.0	0.6	0.3	0.1
2018-07-10	7.0	2.0	1.0	0.7	0.1	0.2
2018-07-11	4.0	1.0	3.0	0.5	0.375	0.125
2018-07-12	16.0	2.0	2.0	0.8	0.1	0.1
2018-07-13	11.0	7.0	3.0	0.5238095238095238	0.14285714285714285	0.3333333333333333
2018-07-14	2.0	3.0	1.0	0.3333333333333333	0.16666666666666666	0.5
2018-07-15	0.0	0.0	1.0	0.0	1.0	0.0
2018-07-16	11.0	4.0	5.0	0.55	0.25	0.2
2018-07-17	9.0	3.0	3.0	0.6	0.2	0.2
2018-07-18	3.0	4.0	2.0	0.3333333333333333	0.2222222222222222	0.4444444444444444
2018-07-19	1.0	2.0	2.0	0.2	0.4	0.4
2018-07-20	13.0	6.0	0.0	0.6842105263157895	0.0	0.3157894736842105
2018-07-21	9.0	0.0	2.0	0.8181818181818182	0.18181818181818182	0.0
2018-07-22	6.0	0.0	0.0	1.0	0.0	0.0
